problem_code,title,platform,topic,difficulty,rating,tags,link
905C,Graphs Practice Problem 1,CSES,Graphs,Hard,4.5,graph bfs dfs,https://cses.fi/problemset/
555D,Dynamic Programming Practice Problem 2,HackerRank,Dynamic Programming,Medium,4.8,dp memoization,https://www.hackerrank.com/domains/algorithms
437E,Greedy Practice Problem 3,AtCoder,Greedy,Easy,4.8,greedy,https://atcoder.jp/
355A,Sliding Window Practice Problem 4,Codeforces,Sliding Window,Easy,906,sliding window,https://codeforces.com/problemset/problem/1761/C
1900E,Sliding Window Practice Problem 5,CSES,Sliding Window,Medium,4.4,sliding window,https://cses.fi/problemset/
1008C,Greedy Practice Problem 6,HackerRank,Greedy,Easy,4.9,greedy,https://www.hackerrank.com/domains/algorithms
1149A,Arrays Practice Problem 7,HackerRank,Arrays,Medium,4.7,array hashmap,https://www.hackerrank.com/domains/algorithms
372C,Two Pointers Practice Problem 8,HackerRank,Two Pointers,Hard,4.1,two pointers,https://www.hackerrank.com/domains/algorithms
9,Greedy Practice Problem 9,LeetCode,Greedy,Hard,4.9,greedy,https://leetcode.com/problems/greedy-practice-problem-9/
507H,Binary Search Practice Problem 10,CSES,Binary Search,Medium,4.4,binary search sorting,https://cses.fi/problemset/
1761A,Graphs Practice Problem 11,Codeforces,Graphs,Medium,1285,graph bfs dfs,https://codeforces.com/problemset/problem/1523/A
1746H,Arrays Practice Problem 12,CSES,Arrays,Hard,4.6,array hashmap,https://cses.fi/problemset/
1631F,Arrays Practice Problem 13,CSES,Arrays,Easy,4.4,array hashmap,https://cses.fi/problemset/
394G,Arrays Practice Problem 14,HackerRank,Arrays,Hard,4.5,array hashmap,https://www.hackerrank.com/domains/algorithms
1729A,Graphs Practice Problem 15,Codeforces,Graphs,Hard,1334,graph bfs dfs,https://codeforces.com/problemset/problem/754/B
993E,Graphs Practice Problem 16,HackerRank,Graphs,Easy,4.8,graph bfs dfs,https://www.hackerrank.com/domains/algorithms
1268H,Binary Search Practice Problem 17,Codeforces,Binary Search,Easy,2409,binary search sorting,https://codeforces.com/problemset/problem/1454/E
898B,Two Pointers Practice Problem 18,Codeforces,Two Pointers,Medium,1926,two pointers,https://codeforces.com/problemset/problem/1310/C
1411B,Graphs Practice Problem 19,CSES,Graphs,Medium,4.2,graph bfs dfs,https://cses.fi/problemset/
1687A,Greedy Practice Problem 20,HackerRank,Greedy,Medium,4.9,greedy,https://www.hackerrank.com/domains/algorithms
483G,Sliding Window Practice Problem 21,AtCoder,Sliding Window,Easy,4,sliding window,https://atcoder.jp/
22,Binary Search Practice Problem 22,LeetCode,Binary Search,Medium,4.3,binary search sorting,https://leetcode.com/problems/binary-search-practice-problem-22/
23,Two Pointers Practice Problem 23,LeetCode,Two Pointers,Medium,4.2,two pointers,https://leetcode.com/problems/two-pointers-practice-problem-23/
1280B,Arrays Practice Problem 24,CSES,Arrays,Hard,4,array hashmap,https://cses.fi/problemset/
670F,Two Pointers Practice Problem 25,CSES,Two Pointers,Hard,4.6,two pointers,https://cses.fi/problemset/
327A,Greedy Practice Problem 26,AtCoder,Greedy,Easy,4,greedy,https://atcoder.jp/
1179G,Arrays Practice Problem 27,CSES,Arrays,Medium,4.9,array hashmap,https://cses.fi/problemset/
1816F,Arrays Practice Problem 28,HackerRank,Arrays,Easy,4.5,array hashmap,https://www.hackerrank.com/domains/algorithms
603E,Binary Search Practice Problem 29,CSES,Binary Search,Medium,4.3,binary search sorting,https://cses.fi/problemset/
1743D,Sliding Window Practice Problem 30,Codeforces,Sliding Window,Easy,1753,sliding window,https://codeforces.com/problemset/problem/1427/E
31,Dynamic Programming Practice Problem 31,LeetCode,Dynamic Programming,Medium,4.6,dp memoization,https://leetcode.com/problems/dynamic-programming-practice-problem-31/
1151D,Dynamic Programming Practice Problem 32,HackerRank,Dynamic Programming,Medium,5,dp memoization,https://www.hackerrank.com/domains/algorithms
1347C,Binary Search Practice Problem 33,CSES,Binary Search,Easy,4.5,binary search sorting,https://cses.fi/problemset/
519G,Two Pointers Practice Problem 34,HackerRank,Two Pointers,Medium,4.3,two pointers,https://www.hackerrank.com/domains/algorithms
652A,Dynamic Programming Practice Problem 35,Codeforces,Dynamic Programming,Medium,1325,dp memoization,https://codeforces.com/problemset/problem/1109/B
1093A,Greedy Practice Problem 36,AtCoder,Greedy,Medium,4.8,greedy,https://atcoder.jp/
170C,Arrays Practice Problem 37,HackerRank,Arrays,Easy,4.9,array hashmap,https://www.hackerrank.com/domains/algorithms
930G,Arrays Practice Problem 38,Codeforces,Arrays,Hard,1718,array hashmap,https://codeforces.com/problemset/problem/1598/G
463B,Greedy Practice Problem 39,AtCoder,Greedy,Easy,4.6,greedy,https://atcoder.jp/
833F,Two Pointers Practice Problem 40,Codeforces,Two Pointers,Easy,1357,two pointers,https://codeforces.com/problemset/problem/465/C
451E,Two Pointers Practice Problem 41,CSES,Two Pointers,Medium,4.6,two pointers,https://cses.fi/problemset/
42,Graphs Practice Problem 42,LeetCode,Graphs,Hard,4.2,graph bfs dfs,https://leetcode.com/problems/graphs-practice-problem-42/
556H,Graphs Practice Problem 43,HackerRank,Graphs,Hard,4.9,graph bfs dfs,https://www.hackerrank.com/domains/algorithms
382D,Dynamic Programming Practice Problem 44,Codeforces,Dynamic Programming,Medium,1035,dp memoization,https://codeforces.com/problemset/problem/1576/B
